Alpes du Nord,Alpes du Sud,Jura,Massif Central,Pyrénées,Vosges,bon,débutant,intermediaire,inferieur à 1000,entre 1000 et 1500,entre 1500 et 2000,entre 2000 et 2500,supérieur à 2000,Entre 187 et 109 pistes,Entre 98 et 50 pistes,Entre 49 et 30 pistes,Entre 29 et 15 pistes,Entre 14 et 1 pistes,inferieur à 30 km ,entre 30 km et 100 km,entre 100 et 200 km,superieur à 200 km,inferieur à 10 (forfait),entre 10 et 20 (forfait),entre 20 et 30 (forfait),entre 30 et 40 (forfait),entre 40 et 50 (forfait),superieur à 50 (fortfait),inferieur a 10 km (fond),entre 10 et 20 km (fond),entre 20 et 30 (fond),entre 30 et 50 (fond),entre 50 et 100 km (fond),superieur a 100 km (fond),domaine  pas connecte,domaine connecte
La Toussuire,Vallouise-Pelvoux,,,,,Gourette,La Loge des Gardes,Notre Dame de Bellecombe,,Autrans,Camurac,Vaujany,,,,Roc d'Enfer - St Jean d'Aulps,Le Mourtis,Prabouré,Alti Aigoual,Le Ballon d’Alsace,,,,L'Audibergue - La Moulière,Molines en Queyras,Cauterets,,,Col de Rousset,,La Sambuy,Le Lioran,,,Le Mourtis,Val d'Allos
Lans en Vercors,Vars,,,,,La Mongie,Les Estables – Mézenc,Oz en oisans,,Chalmazel,Ventoux - Mont Serein,Champagny en Vanoise,,,,,Les Habères,Lus la Jarjatte,Les Bottières,Le Chioula,,,,La Source du Doubs – Mouthe,Saint Véran,Piau Engaly,,,Saint Jean d'Arves,,Val Cenis,Le Semnoz,,,Ventron,Pra-Loup
Le Collet d'Allevard,Ventoux - Mont Serein,,,,,Le Mourtis,Prabouré,Pralognan la Vanoise,,La Croix de Bauzon,Hautacam,La Plagne,,,,,Vallouise-Pelvoux,Brameloup,Laye en Champsaur,Thollon les Memises,,,,Le Chazelet,Métabief Mont d’Or,Les Orres,,,Luchon Superbagnères,,,Chastreix Sancy,,,La Croix de Bauzon,Xonrupt – Le Poli
Le Corbier,,,,,,Les Agudes,Nistos,Praz de Lys Sommand,,Romme,Montriond,Montchavin - La Plagne,,,,,Artouste,Gaschney 360,Ventron,Areches Beaufort,,,,La Bresse Lispach,Gérardmer,Champagny en Vanoise,,,Orelle,,,Le Chioula,,,Col de Porte,Gérardmer
Le Désert d'Entremont,,,,,,Les Angles,Puyvalador,Praz sur Arly,,La Chapelle d'Abondance,Roubion - Les Buisses,La Grave la Meije,,,,,Ventoux - Mont Serein,Les Bottières,Le Chazelet,Roc d'Enfer - St Jean d'Aulps,,,,Mont Saxonnex,Les Rousses,Corrençon en Vercors,,,Aillons Margeriaz,,,Les Egaux,,,Saint Hilaire du Touvet,Risoul
Le Grand Bornand,,,,,,Les Monts d’Olmes,Bussang – Larcenaire,Roc d'Enfer - St Jean d'Aulps,,Alti Aigoual,Val Pelens,Montgenèvre,,,,,Chastreix Sancy,Col de Marcieu,La Croix de Bauzon,La Bresse Hohneck,,,,Céüze,Montclar les 2 vallées,Villard de Lans,,,Luz Ardiden,,,Chalmazel,,,Ancelle,Valfréjus
Le Granier,,,,,,Luchon Superbagnères,Gaschney 360,Saint Colomban des Villards,,Les Rousses,Ristolas en Queyras,Saint Véran,,,,,Beille,Le Sappey en Chartreuse,Serre Eyraud,Porté Puymorens,,,,Espace Alpin Bellefontaine,Les Monts d’Olmes,,,,Praz sur Arly,,,Ceillac en Queyras,,,Aiguilles en Queyras,Sauze Super Sauze
Le Reposoir,,,,,,Luz Ardiden,Gérardmer,Saint François Longchamp,,Etang de Lers,Goulier,Molines en Queyras,,,,,Ascou Pailhères,La Planche des Belles Filles,Cordon,Praz de Lys Sommand,,,,Goulier,Gavarnie Gèdre,,,,Val Pelens,,,Métabief Mont d’Or,,,Gresse en Vercors,Montgenèvre
Le Sappey en Chartreuse,,,,,,Peyresourde,La Planche des Belles Filles,Saint Jean d'Arves,,Les Houches,Areches Beaufort,Orcières Merlette,,,,,Céüze,Sixt Fer à Cheval,Passy Plaine Joux,Les Rousses,,,,Le Schnepfenried,Alpe du Grand Serre,,,,Thollon les Memises,,,Chamonix,,,Le Ballon d’Alsace,Le Granier
Le Semnoz,,,,,,Piau Engaly,La Schlucht,Saint Pierre de Chartreuse / Le Planolet,,Aillons Margeriaz,Megève,Risoul,,,,,Ceillac en Queyras,Aiguilles en Queyras,Chalmazel,Oz en oisans,,,,Saint Maurice sur Moselle,Les Karellis,,,,Auron,,,,,,Albiez Montrond,Le Désert d'Entremont
Les 2 Alpes,,,,,,Porté Puymorens,Le Champ du Feu,Saint Sorlin d'Arves,,Savoie Grand Revard,Les Monts d’Olmes,Isola 2000,,,,,Crévoux,Larche,Mijanès – Donezan,Aussois,,,,Camurac,,,,,Montriond,,,,,,Alpe du Grand Serre,Valmorel
Les 7 Laux,,,,,,Saint Lary Soulan,Le Grand Valtin,Sainte Foy Tarentaise,,Font d'Urle,Morzine,Bonneval sur Arc,,,,,Abriès en Queyras,Col de Porte,Ventoux - Mont Serein,Montclar les 2 vallées,,,,Les Plans d’Hotonnes – Plateau de Retord,,,,,Val Thorens,,,,,,La Loge des Gardes,Saint François Longchamp
Les Arcs,,,,,,Val d’Azun,Xonrupt – Le Poli,Samoëns,,Val d’Azun,Nistos,Auris en oisans,,,,,Hautacam,Montmin - Col de la Forclaz,Le Markstein,Les Houches,,,,Le Grand Puy,,,,,Le Granier,,,,,,Le Schnepfenried,Doucy
Les Bottières,,,,,,Le Schnepfenried,Aillons Margeriaz,Savoie Grand Revard,,Col de Porte,Artouste,Peisey Vallandry,,,,,Saint Léger les Mélèzes,Espace Alpin Bellefontaine,Le Lac Blanc,Alpe du Grand Serre,,,,Artouste,,,,,La Rosière 1850,,,,,,Saint Maurice sur Moselle,Le Mont Dore
Les Brasses,,,,,,,,Thollon les Memises,,Le Bleymard – Mont Lozère,Turini Camp d'Argent,Les 2 Alpes,,,,,Thollon les Memises,Turini Camp d'Argent,La Bresse Lispach,Les Angles,,,,Roubion - Les Buisses,,,,,Bernex,,,,,,Col d'Ornon,Les 2 Alpes
Les Carroz,,,,,,,,Val Cenis,,Le Chioula,Puyvalador,,,,,,Font d'Urle,Etang de Lers,Font d'Urle,Les Karellis,,,,Saint Pierre de Chartreuse / Le Planolet,,,,,Gavarnie Gèdre,,,,,,La Planche des Belles Filles,Les 7 Laux
Les Contamines Montjoie,,,,,,,,Valfréjus,,,Céüze,,,,,,Méaudre,Le Désert d'Entremont,Sixt Fer à Cheval,Luz Ardiden,,,,,,,,,Isola 2000,,,,,,La Pierre St Martin,Peyresourde
Les Coulmes,,,,,,,,Valloire,,,Beuil les Launes,,,,,,Le Schnepfenried,Le Granier,Saint Maurice sur Moselle,La Toussuire,,,,,,,,,Notre Dame de Bellecombe,,,,,,Etang de Lers,Les Habères
Les Egaux,,,,,,,,Valmorel,,,Mijanès – Donezan,,,,,,Mijanès – Donezan,La Loge des Gardes,Mont Saxonnex,Le Lioran,,,,,,,,,Morillon,,,,,,Col de Marcieu,Cordon
Les Gets,,,,,,,,Vaujany,,,La Clusaz,,,,,,Chalmazel,La Source du Doubs – Mouthe,Camurac,Les Agudes,,,,,,,,,Auris en oisans,,,,,,Saint Léger les Mélèzes,Combloux
Les Habères,,,,,,,,Villard Reculas,,,Alpe du Grand Serre,,,,,,Laguiole,Les Egaux,Chaillol,Peyresourde,,,,,,,,,Tignes,,,,,,Brameloup,La Giettaz
Les Houches,,,,,,,,Abriès en Queyras,,,Le Collet d'Allevard,,,,,,Les Fourgs,La Combe Saint Pierre,Les Plans d’Hotonnes – Plateau de Retord,La Mongie,,,,,,,,,Samoëns,,,,,,Chabanon,Montriond
Les Karellis,,,,,,,,Ancelle,,,Vallouise-Pelvoux,,,,,,,Xonrupt – Le Poli,Arvieux en Queyras,La Norma,,,,,,,,,,,,,,,Areches Beaufort,Roc d'Enfer - St Jean d'Aulps
Les Menuires,,,,,,,,Arvieux en Queyras,,,Val Louron,,,,,,,Bessans,Ascou Pailhères,Sauze Super Sauze,,,,,,,,,,,,,,,Puy-Saint-Vincent,La Chapelle d'Abondance
Les Saisies,,,,,,,,Beuil les Launes,,,Serre Eyraud,,,,,,,Le Grand Valtin,Les Monts d’Olmes,Piau Engaly,,,,,,,,,,,,,,,Piau Engaly,Les Gets
Lus la Jarjatte,,,,,,,,Ceillac en Queyras,,,Luchon Superbagnères,,,,,,,Ristolas en Queyras,Chastreix Sancy,Valberg,,,,,,,,,,,,,,,Lus la Jarjatte,Abondance
Manigod,,,,,,,,Chabanon,,,Albiez Montrond,,,,,,,La Schlucht,Abondance,Brides les Bains,,,,,,,,,,,,,,,Le Bleymard – Mont Lozère,Morzine
Méaudre,,,,,,,,Crévoux,,,Villard Reculas,,,,,,,La Grave la Meije,Ceillac en Queyras,Saint Jean d'Arves,,,,,,,,,,,,,,,Pralognan la Vanoise,Avoriaz
Megève,,,,,,,,Isola 2000,,,Chabanon,,,,,,,Saint Jean de Sixt,Méaudre,Saint François Longchamp,,,,,,,,,,,,,,,Mont Saxonnex,Chatel
Méribel,,,,,,,,La Colmiane,,,Chaillol,,,,,,,,Saint Jean de Sixt,Puy-Saint-Vincent,,,,,,,,,,,,,,,La Sambuy,Les Bottières
Mont Saxonnex,,,,,,,,L'Audibergue - La Moulière,,,Ascou Pailhères,,,,,,,,Hautacam,Montriond,,,,,,,,,,,,,,,L'Audibergue - La Moulière,Saint Colomban des Villards
Montchavin - La Plagne,,,,,,,,Laye en Champsaur,,,Les Contamines Montjoie,,,,,,,,Le Semnoz,Les Saisies,,,,,,,,,,,,,,,Gréolières les Neiges,Saint Sorlin d'Arves
Montmin - Col de la Forclaz,,,,,,,,Le Grand Puy,,,Chamrousse,,,,,,,,Val Louron,Ax 3 Domaines,,,,,,,,,,,,,,,Les Karellis,Saint Jean d'Arves
Montriond,,,,,,,,Molines en Queyras,,,Saint Gervais Mont-Blanc,,,,,,,,Abriès en Queyras,La Clusaz,,,,,,,,,,,,,,,Arvieux en Queyras,La Toussuire
Morillon,,,,,,,,Montclar les 2 vallées,,,La Pierre St Martin,,,,,,,,Autrans,Chatel,,,,,,,,,,,,,,,Menthières,Le Corbier
Morzine,,,,,,,,Pra-Loup,,,Réallon,,,,,,,,Crévoux,Le Grand Bornand,,,,,,,,,,,,,,,La Colmiane,Orelle
Notre Dame de Bellecombe,,,,,,,,Puy-Saint-Vincent,,,La Toussuire,,,,,,,,Cambre d’Aze,Val d'Isère,,,,,,,,,,,,,,,Vallouise-Pelvoux,Val Thorens
Orelle,,,,,,,,Réallon,,,Le Corbier,,,,,,,,Gresse en Vercors,Morzine,,,,,,,,,,,,,,,Porté Puymorens,Méribel
Oz en oisans,,,,,,,,Risoul,,,Saint Colomban des Villards,,,,,,,,Le Mourtis,Le Corbier,,,,,,,,,,,,,,,La Combe Saint Pierre,La Tania
Passy Plaine Joux,,,,,,,,Roubion - Les Buisses,,,Saint Jean d'Arves,,,,,,,,Flumet - St Nicolas la Chapelle,Chamrousse,,,,,,,,,,,,,,,Les Brasses,Les Menuires
Peisey Vallandry,,,,,,,,Saint Léger les Mélèzes,,,Bessans,,,,,,,,Saint Léger les Mélèzes,Pra-Loup,,,,,,,,,,,,,,,Larche,Saint Martin de Belleville
Pralognan la Vanoise,,,,,,,,Saint Véran,,,Les 7 Laux,,,,,,,,Etang de Lers,Beuil les Launes,,,,,,,,,,,,,,,Le Markstein,Brides les Bains
Praz de Lys Sommand,,,,,,,,Sainte Anne la Condamine,,,Pralognan la Vanoise,,,,,,,,Col de Porte,Val d'Allos,,,,,,,,,,,,,,,Laye en Champsaur,Courchevel
Praz sur Arly,,,,,,,,Sauze Super Sauze,,,Arvieux en Queyras,,,,,,,,Le Grand Puy,Avoriaz,,,,,,,,,,,,,,,Orcières Merlette,La Bresse Hohneck
Roc d'Enfer - St Jean d'Aulps,,,,,,,,Serre Eyraud,,,Valberg,,,,,,,,Vallouise-Pelvoux,Doucy,,,,,,,,,,,,,,,Abriès en Queyras,Cauterets
Romme,,,,,,,,Vallouise-Pelvoux,,,Sauze Super Sauze,,,,,,,,Les Habères,Valmorel,,,,,,,,,,,,,,,Chamrousse,Autrans
Saint Colomban des Villards,,,,,,,,Les Rousses,,,Ax 3 Domaines,,,,,,,,Formiguères,Montgenèvre,,,,,,,,,,,,,,,Le Sappey en Chartreuse,Saint Véran
Saint François Longchamp,,,,,,,,Métabief Mont d’Or,,,Beille,,,,,,,,Morillon,,,,,,,,,,,,,,,,Les Angles,Besse Super Besse
Saint Gervais Mont-Blanc,,,,,,,,Monts Jura,,,Gourette,,,,,,,,Manigod,,,,,,,,,,,,,,,,Crévoux,Lans en Vercors
Saint Hilaire du Touvet,,,,,,,,Chalmazel,,,Courchevel,,,,,,,,Lans en Vercors,,,,,,,,,,,,,,,,Le Lioran,Alpe d'Huez
Saint Jean d'Arves,,,,,,,,Chastreix Sancy,,,Montclar les 2 vallées,,,,,,,,Pralognan la Vanoise,,,,,,,,,,,,,,,,Le Semnoz,Montchavin - La Plagne
Saint Jean de Sixt,,,,,,,,Laguiole,,,Font-Romeu – Bolquère – Pyrénées 2000,,,,,,,,Artouste,,,,,,,,,,,,,,,,Chastreix Sancy,Champagny en Vanoise
Saint Martin de Belleville,,,,,,,,Le Bleymard – Mont Lozère,,,Oz en oisans,,,,,,,,Bellevaux - Hirmentaz,,,,,,,,,,,,,,,,Le Chioula,Peisey Vallandry
Saint Pierre de Chartreuse / Le Planolet,,,,,,,,Le Lioran,,,Barèges,,,,,,,,Col de Rousset,,,,,,,,,,,,,,,,Chalmazel,Les Arcs
Saint Sorlin d'Arves,,,,,,,,Artouste,,,La Mongie,,,,,,,,Les Carroz,,,,,,,,,,,,,,,,Ceillac en Queyras,La Plagne
Sainte Foy Tarentaise,,,,,,,,Ascou Pailhères,,,Doucy,,,,,,,,L'Audibergue - La Moulière,,,,,,,,,,,,,,,,Métabief Mont d’Or,Les Agudes
Samoëns,,,,,,,,Barèges,,,Valmorel,,,,,,,,La Pierre St Martin,,,,,,,,,,,,,,,,Les Coulmes,Font-Romeu – Bolquère – Pyrénées 2000
Savoie Grand Revard,,,,,,,,Cambre d’Aze,,,La Rosière 1850,,,,,,,,,,,,,,,,,,,,,,,,Les Estables – Mézenc,Vars
Sixt Fer à Cheval,,,,,,,,Camurac,,,,,,,,,,,,,,,,,,,,,,,,,,,Laguiole,Molines en Queyras
Thollon les Memises,,,,,,,,Cauterets,,,,,,,,,,,,,,,,,,,,,,,,,,,Le Collet d'Allevard,Cambre d’Aze
Tignes,,,,,,,,Etang de Lers,,,,,,,,,,,,,,,,,,,,,,,,,,,Réallon,La Rosière 1850
Val Cenis,,,,,,,,Formiguères,,,,,,,,,,,,,,,,,,,,,,,,,,,Nistos,Savoie Grand Revard
Val d'Isère,,,,,,,,Goulier,,,,,,,,,,,,,,,,,,,,,,,,,,,Beille,Saint Pierre de Chartreuse / Le Planolet
Val Thorens,,,,,,,,Guzet,,,,,,,,,,,,,,,,,,,,,,,,,,,Bussang – Larcenaire,Superdevoluy / La Joue du Loup
Valfréjus,,,,,,,,Hautacam,,,,,,,,,,,,,,,,,,,,,,,,,,,Espace Alpin Bellefontaine,Beuil les Launes
Valloire,,,,,,,,La Pierre St Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,Alti Aigoual,Valmeinier
Valmeinier,,,,,,,,Le Chioula,,,,,,,,,,,,,,,,,,,,,,,,,,,Le Lac Blanc,Valloire
Valmorel,,,,,,,,Mijanès – Donezan,,,,,,,,,,,,,,,,,,,,,,,,,,,Val d’Azun,Les Egaux
Vaujany,,,,,,,,Val Louron,,,,,,,,,,,,,,,,,,,,,,,,,,,Le Champ du Feu,
Villard de Lans,,,,,,,,La Bresse Brabant,,,,,,,,,,,,,,,,,,,,,,,,,,,Les Fourgs,
Villard Reculas,,,,,,,,La Bresse Hohneck,,,,,,,,,,,,,,,,,,,,,,,,,,,Formiguères,
,,,,,,,,La Bresse Lispach,,,,,,,,,,,,,,,,,,,,,,,,,,,Prabouré,
,,,,,,,,Le Ballon d’Alsace,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonneval sur Arc,
,,,,,,,,Le Lac Blanc,,,,,,,,,,,,,,,,,,,,,,,,,,,Font d'Urle,
,,,,,,,,Le Markstein,,,,,,,,,,,,,,,,,,,,,,,,,,,La Source du Doubs – Mouthe,
,,,,,,,,Saint Maurice sur Moselle,,,,,,,,,,,,,,,,,,,,,,,,,,,Les Plans d’Hotonnes – Plateau de Retord,
,,,,,,,,Ventron,,,,,,,,,,,,,,,,,,,,,,,,,,,Bessans,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monts Jura,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Les Rousses,
